,edaacc_correlation
801,-0.23686611880041558
802,-0.0609101200377997
803,0.09679980471041855
804,-0.3662507495111795
805,0.06685049976422493
806,0.11463174929732492
807,-0.03916239442105432
808,-0.11571443180743039
809,-0.36778765197329893
810,-0.20248191524835876
811,-0.08307211779582858
812,0.7661781229654613
813,0.34893690861795224
814,0.09626620829996356
815,0.5022853842359567
816,-0.0837213859228786
817,0.03149978374120853
818,0.40634881507343257
819,-0.014739228988885758
820,-0.42186666590343114
821,-0.506831842405128
822,-0.05090786535421386
823,-0.13763840348379916
824,-0.15248260459141688
825,0.043056607297110666
826,0.07594436089056605
827,0.07345994244660561
828,-0.18830408697909173
829,0.13426005504156105
830,0.04800737684954836
831,-0.193179424548103
832,-0.10918537470704609
833,-0.03489953494861272
834,0.14082178890013367
835,-0.08039106922157759
836,0.29225339393967975
837,0.40492153044983825
838,0.12266268950356746
839,-0.5312729622658915
840,0.2758199557754997
841,0.20583216344952712
842,-0.053919567167256356
843,0.12363742703870484
844,-0.36247956101712875
845,-0.20788604699041915
846,0.011229491764038974
847,0.018522682347832584
848,-0.017926003727466545
849,-0.425208729011401
850,0.09796198752236324
851,-0.20285576398624386
852,-0.3004127865231514
853,-0.024751306872575707
854,-0.0210551633479901
855,0.15160775047391936
856,0.10314296030658865
857,-0.12684282683861936
858,-0.22056660433904743
859,-0.3873529740686249
860,-0.13141150559713624
861,-0.18401353816393098
862,0.1685564150228925
863,0.12939219797100135
864,0.13730214263255178
865,0.30564417789354725
866,0.1909149628273707
867,0.04259755518100878
868,0.12302838633696174
869,0.02023908414171561
870,0.21382966431017295
871,0.14389836056300137
872,-0.16482329481878283
873,-0.006989859567222324
874,0.19768146201954234
875,0.08921184415089502
876,-0.1933950363510603
877,-0.1941066506830867
878,0.12926946871589365
879,0.232424723205515
880,0.05463173774658818
881,0.2525377637411713
882,-0.045711349460726095
883,-0.4495628370986777
884,-0.1971424157897182
885,0.05848801719651214
886,-0.04326878330923385
887,0.07749819472921261
888,-0.09981683042868712
889,0.008675394390069204
890,-0.09385822447237573
891,0.17097571418013346
892,0.31527261789710076
893,0.13025398168072533
894,0.18513416725170168
895,0.34104518413409346
896,-0.05900680567309885
897,-0.33937932757504574
898,-0.17505524973962147
899,0.22205937837153367
900,0.2878662784873839
901,0.37240509403154015
902,-0.013294653779880867
903,-0.2691847038519978
904,0.21005649214974195
905,-0.11613652071143545
906,0.08930374303375684
907,0.22600551333662575
908,0.13219273655886354
909,0.3347841288652887
910,-0.05064376888934445
911,0.41395258288255465
912,0.008537788461032748
913,-0.054523676013102436
914,0.02460075803795342
915,-0.377494829501745
916,0.14629712257678584
917,-0.0302846927704486
918,0.14614393799577666
919,0.5379199806805607
920,-0.17688488018923548
921,-0.0700533132227856
922,0.08495943954114751
923,0.07891178830974188
924,-0.11448754050779177
925,0.3720881141478896
926,0.21822275348772724
927,-0.055956360530971125
928,-0.3577424068432978
929,-0.17516333420084002
930,0.14302275372853396
931,0.14695466200936794
932,0.14925018771889714
933,0.004625526609882985
934,-0.04742970133779674
935,0.09343830286068458
936,0.10497712970702017
937,0.27051679773211307
938,-0.1570944998168106
939,-0.16130589723395394
940,-0.12238796205059652
941,0.018701524490191277
942,0.4511199795943377
943,-0.6051681682107151
944,0.03653021884618649
945,-0.14334722164690064
946,0.22165844886561364
947,-0.23592878632143865
948,0.17858914495299905
949,-0.31386422203371345
950,0.4774155979433605
951,0.30763987186779523
952,0.1708638476362654
953,0.10751394424048646
954,0.5539292333928272
955,-0.22986621656578968
956,0.07986143846817463
957,-0.05351232684009668
958,0.009136820259572844
959,0.3013135675369895
960,0.20252855075190165
961,0.4210572983887971
962,-0.08933118212655439
963,0.13688810737291013
964,-0.16079708280895103
965,-0.03225265056996458
966,-0.1062612785784381
967,-0.08173978439698242
968,0.07694095191510866
969,-0.08431857078169627
970,-0.2744272514007563
971,0.09281010175138621
972,-0.1396560956705504
973,0.049830706746168206
974,0.0462486725053236
