,temp+acc_XAp0,temp+acc_XAp1,temp+acc_XAp2,temp+acc_XCond1,temp+acc_XCond2,temp+acc_XDist,temp+acc_XFuzz1,temp+acc_XFuzz2,temp+acc_XK2_1,temp+acc_XK2_2,temp+acc_XPermEn,temp+acc_XSamp0,temp+acc_XSamp1,temp+acc_XSamp2,temp+acc_XSpec
54,,0.0,0.0,0.12925332146056012,0.09759985565632431,0.27127524729798747,0.022419633754130457,0.011261879445611973,,,0.6380535849069913,inf,,,0.2993394145251343
55,,0.0,0.0,0.106969059718312,0.08495982324889619,0.2790208857280163,0.024476203242876655,0.012185579853868825,,,0.6425374456860184,inf,,,0.28528610805216714
56,,0.0,0.0,0.3371399435445514,0.27110117557226193,0.12158622426738801,0.0896539843410099,0.038736115331636,,,0.6619902821573977,inf,,,0.3263833878711
57,,0.0,0.0,0.3359143051598429,0.26386827560394743,0.12762315813016134,0.10243782657578393,0.03832366755579676,,,0.6284777104787076,inf,,,0.33054183476035587
58,,0.0,0.0,0.1469052641087327,0.10778053250122767,0.2827659395497817,0.03275376262831209,0.016749384516499218,,,0.6547956803312163,inf,,,0.3837428833632267
59,,0.0,0.0,0.12288817977761199,0.08723211350777448,0.2903911465890347,0.02798661303393285,0.018280100130897245,,,0.5915533975974677,inf,,,0.3285157823647917
60,,0.0,0.0,0.16482371611529226,0.1329656755016556,0.7530194010799992,0.00907776042571838,0.009355453883626933,,,0.6180765742263259,inf,,,0.2606544559538167
61,,0.0,0.0,1.2872635665240288,0.7737180501924453,0.8992865265198889,0.0017682180048162986,0.00308827366513757,,,0.6333676938231112,inf,,,0.21451600049197347
62,,0.0,0.0,1.6185764838989967,1.0880514354545094,0.930191162669314,0.0025277082393428425,0.004099689700900369,,,0.6125606311107803,inf,,,0.16769087802703886
63,,0.0,0.0,0.11539037784936122,0.07807748810111576,0.5947032215746958,0.012665270411302287,0.011824014441326355,,,0.6468212168108125,inf,,,0.22024235031430398
64,,0.0,0.0,0.06236667603779547,0.05414596964634152,0.3781242614537581,0.023575042696225915,0.01361505848729231,,,0.6125606311107803,inf,,,0.29653670688647354
65,,0.0,0.0,1.535582005156618,1.53055919731884,0.8695439089473892,0.005149328373802139,0.006091398831207028,,,0.6333676938231112,inf,,,0.1733063232740751
66,,0.0,0.0,0.08467349851939517,0.06143359159524768,0.32299660868458274,0.021066617268039694,0.009826541531122765,,,0.6468212168108125,inf,,,0.3032636987266838
67,,0.0,0.0,0.08467349851939517,0.06076139489842995,0.4156536323124376,0.020203060862745065,0.011130714044031861,,,0.6547956803312163,inf,,,0.26317168360613463
68,,0.0,0.0,1.4935378337735825,0.9038780377743546,0.8952925015649047,0.0035687707788360093,0.005446817627684338,,,0.6403206450210053,inf,,,0.1549690013816445
69,,0.0,0.0,0.8508931188950433,0.6474576379905742,0.6416431398047502,0.0014060772584664305,0.00238575067305397,,,0.6180765742263259,inf,,,0.1985243820327174
70,,0.0,0.0,1.5020624812504675,1.4624752283425788,0.8093232097705122,0.0010612877080275367,0.0015863311338561623,,,0.6566669596287297,inf,,,0.16572424671255162
71,,0.0,0.0,1.3977342697376451,1.350759015734814,0.7836972783277097,0.001414582405987496,0.00194312280345802,,,0.6357360191111145,inf,,,0.16897474954307207
72,,0.0,0.0,0.22688424313739894,0.18166417309554234,0.22411610721587663,0.05202174160043362,0.025137835137313727,,,0.6068309995095971,inf,,,0.33360287022408225
73,,0.0,0.0,0.28753177437928934,0.25339616913109614,0.3133458915114706,0.07583594183794733,0.04074160264568803,,,0.6403206450210053,inf,,,0.3018690032301988
74,,0.0,0.0,0.17293301827745555,0.14939326342811626,0.19896467550078945,0.0426205316468303,0.018728054908527213,,,0.6097226960127671,inf,,,0.30736988070240095
75,,0.0,0.0,0.6457009790420806,0.4687702659292728,0.6961092828131692,0.006244984156900714,0.009326612527077144,,,0.6153451465759925,inf,,,0.19488990593952044
76,,0.0,0.0,0.12463234025682715,0.10258881754807168,0.23776136714234355,0.026112156519664954,0.011994430942071848,,,0.6309483474627791,inf,,,0.35054327395235796
77,,0.0,0.0,0.106969059718312,0.08176140320872163,0.2716174281048225,0.02245672065622879,0.006799979765475011,,,0.6097226960127671,inf,,,0.31598323341112755
78,,0.0,0.0,1.3831570943601021,1.2828995804470353,0.8429659631299954,0.0018455384688455866,0.0024638356789735694,,,0.6309483474627791,inf,,,0.16539373648157782
79,,0.0,0.0,0.7661719717750565,0.7074007397780451,0.4560468122850985,0.006428347539068226,0.010310915946455272,,,0.5915533975974677,inf,,,0.19578654043348487
