,hrtemp_correlation
148,0.016632120245528334
149,-0.04356785406489872
150,0.6787697384991003
151,0.1255866901092541
152,-0.6602966259236872
153,-0.13863626526385375
154,0.14009869746285203
155,0.09914650826166431
156,-0.06026471206577171
157,0.6731003875034781
158,0.5974704126757356
159,-0.4403304041493595
160,-0.31919919579849576
161,0.5803483555246449
162,-0.12283268438723975
163,0.11221570878357387
164,0.05434201179023096
165,0.18217528202280595
166,0.49125569532220303
167,0.23355992055811517
168,-0.2615938105436927
169,-0.4658662519184221
170,-0.00029557446531312337
171,-0.13478542662515272
172,-0.12290734174732974
173,-0.21046882065027417
174,0.21721564236369195
175,0.3595542018267367
176,0.1024438155299464
177,-0.7773949736356479
178,0.6317145690069462
179,-0.3016616843361448
180,0.4618411437702806
181,-0.279145227413826
182,-0.36734316983134446
183,-0.2569807386562344
184,0.7293797010548628
185,-0.4426120008652668
186,0.31506224793823534
187,-0.23751403257632223
188,0.006575036997403764
189,0.04750845097498299
190,0.24737096034884348
191,0.5219447912976508
192,0.10638709513456626
193,-0.39969047366966165
194,-0.019133754463066286
195,-0.27152092527397614
196,0.19317949417521124
197,-0.10924369893312504
198,-0.44921000022953284
199,-0.3723556268754978
200,0.36898563178711175
201,0.6877262613313869
202,-0.47207745324513267
203,-0.30183230937225536
204,-0.10982869029975953
205,0.07780415770702558
206,-0.22750931657162315
207,0.257009010081795
208,-0.2574591102613831
209,-0.11137689152699852
210,-0.006460727299705208
211,-0.08868850765463741
212,0.1010011168628893
213,0.6855756700121636
214,-0.5850855385184459
215,0.5343970434183807
216,-0.7204595935425596
217,-0.6321378136788239
218,0.24637887020582847
219,-0.39074195336854706
220,-0.009217638792939195
221,0.5206155470544077
222,0.5548275982024351
223,-0.3679049604541746
224,0.8882029618564513
225,0.3801646023659901
226,0.036478747889837966
227,0.45292491511632677
228,-0.7580615699682371
229,-0.6888070055515653
230,-0.44607963491440505
231,-0.43506754071075127
232,-0.24782262349945555
233,-0.20239566044407536
234,0.4822529714394206
235,-0.46854939885887587
236,0.2630747722617899
237,-0.47654987248807357
238,-0.3745437659897423
239,-0.02329610559859691
240,-0.391039262699859
241,0.41616449869136657
242,0.7416397478142385
243,0.4222628695881453
244,-0.6073893307314152
245,-0.4380474125572349
246,-0.669138014477625
247,-0.36428147656715404
248,0.2105353141056997
249,0.7055953494222363
250,-0.3358149509273546
251,-0.16396234052186265
252,0.2504139072131994
253,0.138804114593527
254,-0.1006755505626539
255,0.33354120323354575
256,-0.34900984534596796
257,0.27382430307164846
258,-0.3156277416996034
259,0.15446113724599633
260,0.402275168073001
261,-0.319049296371001
262,-0.11083841900571048
263,0.20808047484310746
264,-0.05729075156744744
265,-0.13229096410122818
266,-0.2535362781067027
267,0.07635428072796081
268,-0.5186575934272752
269,-0.25476232525755815
270,-0.6401171438243103
271,0.41869344540534803
272,-0.12278917306550649
273,-0.2627100655446262
274,-0.06563012435831658
275,0.3985770018163004
276,-0.018667081957919225
277,0.033712345734397436
278,-0.5443189260710485
279,0.39404269109571377
280,0.039681638632716155
281,-0.2989943448379725
282,-0.18688788039061077
283,-0.41626379314242196
284,-0.08274391004618453
285,-0.4649954071260041
286,0.428480943964124
287,0.7426203191355469
288,-0.5870146779321905
289,0.2295282033539423
290,-0.11175688997455732
291,-0.5261525224820317
292,0.19939975033968155
293,-0.16642840898997607
294,-0.027690734786180584
295,0.3332244492385789
296,-0.05705029172175592
297,0.31499216535191393
298,-0.27738776986986513
299,-0.12471593689518572
300,-0.5043694991940153
301,0.6353410474275467
302,-0.42592439978087154
303,-0.07284656569253425
304,0.3700456219531854
305,0.17994971552728034
306,-0.11696541060974652
307,-0.29059469801757165
308,0.040220705868702085
309,-0.1976541574212817
310,-0.5059732444815503
311,-0.006474706223080128
312,-0.004738711902671573
313,0.8588340558791978
314,0.7787566372982119
315,-0.37689624366898383
316,0.22511029387162348
317,0.6514716780566651
318,-0.7568987498567582
319,0.07715160900556876
320,0.7775898850560571
321,0.7470475737502568
322,0.07043056100047568
323,0.1708173710631052
324,-0.3837235775459092
325,0.017399017071521104
326,0.5287612027516368
327,0.16523652131768624
328,-0.7197812814733993
329,0.733782937272717
330,0.7478977012187112
331,-0.7798033662335716
332,-0.34260230621730847
333,0.041553808456278346
334,0.5310649947881959
335,0.6890749950793471
336,0.4219322391679591
337,0.03960403078944131
338,-0.007695708347254939
339,0.6452505745669046
340,0.2335379324983813
341,-0.7807925218903164
342,-0.33541878221316546
343,0.787657986710845
344,0.26417977585052466
345,0.5759007069878351
346,0.0904828319651066
347,0.14112759357663018
348,-0.42103719699673386
349,0.22884799922919807
350,0.030524596653573256
351,0.5766811765075917
352,0.07471669617426956
353,0.3032770698704765
354,-0.2678835427311817
355,0.5757057815768681
356,0.23553057240769126
357,-0.4132445668970883
358,0.6812948673383309
359,0.587342563385896
360,0.016516869634105466
361,0.253558080895324
362,0.7322206304015204
363,0.3965510041057305
364,0.170705238777512
365,0.0738162248636683
366,0.10674816136050042
367,-0.11455074103439765
368,0.5862332827409918
369,0.08066285527389815
370,0.1241728657274715
371,-0.09108763407700944
372,0.47771875378817247
373,0.40781277530928456
374,0.44221773081352145
375,-0.6120321262756457
376,0.5642100626349974
377,0.7003189653546508
378,0.7963866318376177
379,0.05496481546519946
