,bvp+temp_XAp0,bvp+temp_XAp1,bvp+temp_XAp2,bvp+temp_XCond1,bvp+temp_XCond2,bvp+temp_XDist,bvp+temp_XFuzz1,bvp+temp_XFuzz2,bvp+temp_XK2_1,bvp+temp_XK2_2,bvp+temp_XPermEn,bvp+temp_XSamp0,bvp+temp_XSamp1,bvp+temp_XSamp2,bvp+temp_XSpec
559,5.7037824746562,-5.7037824746562,0.0,1.6444148000766856,1.655747989342864,0.7157451858577366,2.2037269705455,1.0157889774434028,,,0.524519217297268,5.703782474656201,inf,,0.8552412769766925
560,,0.0,0.0,1.6650990213533508,1.628961749368753,0.5673190783672515,1.7066798031289452,1.0079348085905417,,,0.5567373465730988,inf,,,0.65322856568874
561,,0.0,0.0,1.5425145565371408,1.5233565003493272,0.5432568273840812,1.5518215078419526,1.2168634247295602,,,0.4928685327679205,inf,,,0.9372680693972014
562,5.7037824746562,-5.7037824746562,0.0,1.42047011707141,1.3871467292156958,0.6633238594262514,2.2050483752565233,1.6646471520875892,,,0.4880666971167561,5.703782474656201,inf,,0.9340937761066086
563,,0.0,0.0,1.425512252544866,1.3948947757407093,0.692326677910181,1.5760134947778868,1.0290763072143265,,,0.4732203808476458,inf,,,0.9275657194780148
564,,0.0,0.0,1.6881262690684335,1.6536207337080595,0.6193914628363761,2.0361365442064727,1.6165040714674448,,,0.6008849035917525,inf,,,0.9479213129155143
565,5.7037824746562,-5.7037824746562,0.0,1.5034003995232506,1.4387411447124416,0.7059713460155214,1.6151891016789406,1.017004463528271,,,0.48319206230712763,5.703782474656201,inf,,0.9511822678790105
566,,0.0,0.0,1.7133346418931619,1.7026368400362544,0.5123153345481579,1.1714012355199952,0.8632539400148749,,,0.5604843169999094,inf,,,0.9508345280163546
567,,0.0,0.0,1.660732346974973,1.657223358465748,0.7825702467891296,1.9524093761475745,1.3950838739712907,,,0.552929491858785,inf,,,0.9039798114185366
568,,0.0,0.0,1.5725233667886425,1.569923303337541,0.61603116628414,2.240743034638553,1.4616777285156157,,,0.5490601803369085,inf,,,0.9505721509398048
569,,0.0,0.0,1.7205546714561852,1.7118737964448536,0.6640681665615685,2.1188542355455633,2.0993871252354555,,,0.5158180382284114,inf,,,0.9477006862570518
570,4.837417957855047,-4.837417957855047,0.0,1.346254919688064,1.3150461505893396,0.6107571022809858,2.741296463724481,2.958813246730207,,,0.541134803179459,4.813151489562624,inf,,0.6923969946819674
571,4.31748811353631,-4.31748811353631,0.0,1.6791176180505902,1.653821641012374,0.6862306100388315,3.3042566294403373,4.744238854917622,,,0.5022576003740722,4.31748811353631,inf,,0.8506091833292618
572,4.608217319252632,-4.608217319252632,0.0,1.578441343338561,1.557224928904177,0.6253206630442125,2.2386693953811023,1.567302695585417,,,0.585052858160615,4.55321044705738,inf,,0.8568367336521813
573,4.31748811353631,-4.31748811353631,0.0,1.6941294258837754,1.6664706761942223,0.6024259420264629,2.5496137901260574,1.791280688801126,,,0.5713653840954815,4.31748811353631,inf,,0.7574795966658954
574,,0.0,0.0,1.1401562122462177,1.0332408265946136,0.5142720259970298,2.1626112385788487,1.941178093785119,,,0.5113665138247345,inf,,,0.9179602058895727
575,5.7037824746562,-5.7037824746562,0.0,1.7091618875031842,1.7241213141353766,0.6099372691499801,3.0620537687507525,3.400793856705604,,,0.44694259446804574,5.703782474656201,inf,,0.9466141405847155
576,,0.0,0.0,1.6649761138790888,1.6763982077590998,0.7573599449841695,3.087346651523422,3.396051112047664,,,0.47824363442641393,inf,,,0.9412343039139985
