,hr+eda_XAp0,hr+eda_XAp1,hr+eda_XAp2,hr+eda_XCond1,hr+eda_XCond2,hr+eda_XDist,hr+eda_XFuzz1,hr+eda_XFuzz2,hr+eda_XK2_1,hr+eda_XK2_2,hr+eda_XPermEn,hr+eda_XSamp0,hr+eda_XSamp1,hr+eda_XSamp2,hr+eda_XSpec
738,,0.0,0.0,0.9305834694782261,0.752025028062739,0.8981297198295032,0.48401504030292597,0.46796985414068637,,,0.62595550513784,inf,,,0.25861634844229286
739,,0.0,0.0,1.046852336665969,0.965015728734665,0.8814956926839068,0.40658771335457183,0.39724726755023826,,,0.6008849035917525,inf,,,0.21143964616131566
740,,0.0,0.0,1.3517702858816898,1.1521454687150974,0.9486360839707138,0.2961252274009964,0.3338419407973669,,,0.6038851895711802,inf,,,0.20588557461154225
741,,0.0,0.0,1.4359471880405466,1.0263685359748973,0.9158249770264252,0.2913164175006724,0.31457174151801026,,,0.581717464821069,inf,,,0.17743204179483762
742,,0.0,0.0,1.7407351127763808,1.5409492984934046,0.9344266345637398,0.525838741656793,0.5562187499936437,,,0.6309483474627791,inf,,,0.2022414360726661
743,,0.0,0.0,1.5010913818156797,1.2844234372198788,0.7905619686979107,0.2563544212001314,0.2845641599553886,,,0.6233814453054027,inf,,,0.17162331279773724
744,,0.0,0.0,0.8845747448803077,0.6374578916316894,0.9078457413106188,0.6365561321428381,0.5330932484994018,,,0.5677978065141052,inf,,,0.279223516156602
745,,0.0,0.0,1.7305600588315204,1.1422102372021359,0.8607224214399399,0.2791761530568302,0.2778295614611548,,,0.552929491858785,inf,,,0.19416026290157926
746,,0.0,0.0,1.396197565191548,1.136748600635026,0.9416312685276255,0.2668114367234293,0.21450849077228573,,,0.6125606311107803,inf,,,0.1569260039402658
747,,0.0,0.0,1.1930016237285814,0.6928734557895707,0.9012670168506128,0.3108115775737152,0.293866441454644,,,0.6125606311107803,inf,,,0.16455876998249172
748,,0.0,0.0,1.2099327541758451,0.8983004964403462,0.8518766463444943,0.2924520741635834,0.2612920886730742,,,0.6038851895711802,inf,,,0.16976688268197315
749,,0.0,0.0,1.1778857187525928,0.7503115948152859,0.8970138487443461,0.28746154308455096,0.28756745080651847,,,0.6333676938231112,inf,,,0.1800632267967031
750,,0.0,0.0,1.5110948492101919,1.2560517899387327,0.8530406155945038,0.48495179945040906,0.531371984350172,,,0.5978297680564633,inf,,,0.16761871796943795
751,,0.0,0.0,1.6259184154841244,1.3463530165666555,0.9203021235889035,0.5069272745513274,0.448290932384491,,,0.585052858160615,inf,,,0.17792304759179559
752,,0.0,0.0,1.6120752325495378,1.4542783903473853,0.9153347831856147,0.3758133836455894,0.3883350205292156,,,0.5978297680564633,inf,,,0.1756226849864401
753,,0.0,0.0,1.7221853405924155,1.6214051577360569,0.8829776707550562,0.3952817910516737,0.3670532485015843,,,0.5978297680564633,inf,,,0.19821734389486928
754,,0.0,0.0,1.7206997858642796,1.6808664511140081,0.8369530593993237,0.5237300959872739,0.5654970285094351,,,0.6068309995095971,inf,,,0.20725855671831525
755,,0.0,0.0,1.6891845514234873,1.4394546316769168,0.9786478062538311,0.4723994459373714,0.5059520145994385,,,0.5713653840954815,inf,,,0.19600874752758662
756,,0.0,0.0,1.0861120817870609,0.8207457573167133,0.7756697425684744,0.41471272227848655,0.4072979950231723,,,0.6403206450210053,inf,,,0.1766581192036745
757,,0.0,0.0,1.0613888320244338,0.8038772758295493,0.936003826744648,0.4831003055482484,0.5383585100562873,,,0.5783247308855777,inf,,,0.1896054140831898
758,,0.0,0.0,1.3693873427462744,1.2191444140645606,0.9100437575222028,0.5018886749831754,0.5042312347901139,,,0.6153451465759925,inf,,,0.21435952408579811
