,eda+hr_XAp0,eda+hr_XAp1,eda+hr_XAp2,eda+hr_XCond1,eda+hr_XCond2,eda+hr_XDist,eda+hr_XFuzz1,eda+hr_XFuzz2,eda+hr_XK2_1,eda+hr_XK2_2,eda+hr_XPermEn,eda+hr_XSamp0,eda+hr_XSamp1,eda+hr_XSamp2,eda+hr_XSpec
63,,0.0,0.0,1.5564190735952186,1.3942483953008014,0.8614980237207212,0.061447502036806496,0.15527810067079656,,,0.552929491858785,inf,,,0.24197825456952912
64,,0.0,0.0,1.4761987760154263,1.2258011717247492,0.8206565071394524,0.029966375134201518,0.08592970955826643,,,0.524519217297268,inf,,,0.1750759571288058
65,,0.0,0.0,1.4369188763766614,1.3155605409120856,0.8402382753093691,0.04867179073718907,0.13402412539104974,,,0.524519217297268,inf,,,0.175109010537301
66,,0.0,0.0,1.399576407791856,1.1199502515686746,0.8482738881317559,0.1027359996011498,0.19008527551677057,,,0.5068466436745385,inf,,,0.16652655442388672
67,,0.0,0.0,1.509951400388332,1.3983841550409837,0.8843215836709796,0.05569942896716843,0.1473392124585262,,,0.524519217297268,inf,,,0.17350821365117103
68,,0.0,0.0,1.7576609333588469,1.4777435222779798,0.9511173155603672,0.030950188315438446,0.08465152337399946,,,0.541134803179459,inf,,,0.1623577265262577
69,,0.0,0.0,1.3157745140862511,1.0018889841890686,0.7774373000661665,0.03838441169278928,0.10285133399428217,,,0.5113665138247345,inf,,,0.16027903364936325
70,,0.0,0.0,1.7314289421583453,1.2334906456065404,0.955947686335206,0.11318551873497426,0.266319354244809,,,0.44694259446804574,inf,,,0.21604242411291838
71,,0.0,0.0,1.645026759607557,1.4070277727274216,0.9095517181978167,0.052241575978837315,0.14334889370198586,,,0.48319206230712763,inf,,,0.21058100987786915
72,,0.0,0.0,1.3499333295564033,0.971135444756292,0.81185667537275,0.08371022204700017,0.16534779202905858,,,0.4732203808476458,inf,,,0.18086559317712558
73,,0.0,0.0,1.5900647642560306,1.1234486142210791,0.9010401005902634,0.05206225460986689,0.1268322904825948,,,0.4928685327679205,inf,,,0.17543830133692687
74,,0.0,0.0,1.70806242549372,1.4035471649505837,0.9332483394179484,0.005085473694986435,0.015569473088328508,,,0.4732203808476458,inf,,,0.16883402625703306
75,,0.0,0.0,1.584561322082778,1.1534164234033004,0.8890474438514525,0.03666938668738151,0.09058901492439936,,,0.5641709578113449,inf,,,0.19421411149711612
76,,0.0,0.0,1.6514812242299204,1.581236729606624,0.9069976454890334,0.0128291905825108,0.037607182597474656,,,0.541134803179459,inf,,,0.1638787260196411
77,,0.0,0.0,1.521816646371304,1.4310854452513437,0.8515075447003794,0.004280486057992016,0.013312514987219491,,,0.47824363442641393,inf,,,0.16350928746380244
