,bvp+acc_XAp0,bvp+acc_XAp1,bvp+acc_XAp2,bvp+acc_XCond1,bvp+acc_XCond2,bvp+acc_XDist,bvp+acc_XFuzz1,bvp+acc_XFuzz2,bvp+acc_XK2_1,bvp+acc_XK2_2,bvp+acc_XPermEn,bvp+acc_XSamp0,bvp+acc_XSamp1,bvp+acc_XSamp2,bvp+acc_XSpec
1042,1.5419705144294775,0.9225255937259293,0.44286738582935437,1.0627995768035263,1.04469933695793,0.7940183162986821,3.6286894951228863,2.9765001196443004,0.9462877459937619,0.6884402304909528,0.5783247308855777,1.5275507529619163,0.8025197377077324,0.4430517071762764,0.940329735227411
1043,1.4102270992824493,0.9966280881745888,0.8365118298449414,1.0727860555021638,1.0556586395191498,0.8178826623567019,3.090835754657038,2.447854397347961,1.0714347976488467,0.8337842430676048,0.6309483474627791,1.392759660644321,0.930028139667244,0.6546680644917129,0.9288700989941049
1044,1.5467184274985724,1.1528909063938286,0.9209145325350585,0.9648745137263942,0.9441261457795639,0.6940548762252416,3.891326956853295,2.7349874961372564,1.29968531677106,1.0943994403930692,0.62595550513784,1.538461823638105,1.1174704232019985,0.8776543228677975,0.9052906491303906
1045,1.202355048318557,0.8125160754091421,0.6417048058497632,0.7914235172644235,0.7837659040420143,0.5424782473015185,2.926830291598308,2.5139090739197263,0.8948829164155412,0.8416308512916604,0.6309483474627791,1.1736232324806242,0.7271329851231964,0.5832175341355792,0.9412887393365171
1046,1.4853725936436282,0.6287166223595066,0.40069128413843336,0.8946314024295253,0.882943533628963,0.7930654210463631,3.437273992942015,2.7952249707032646,0.7517088064807238,0.7939218713397708,0.5947193981915972,1.4768514105226827,0.5690264143190127,0.3460243314980629,0.9230498869497348
1047,1.5542714930222745,1.3835362717904967,0.9902186227036345,0.9918606202708817,0.9812290057472222,0.7576060984272278,4.342658596888891,3.661311185874702,1.6450052094584473,1.3433437421237955,0.6566669596287297,1.5514835191735443,1.3707917877356286,0.9992370245400888,0.9085733141235669
1048,1.821647498850352,1.344290408308612,0.9532219743007766,1.0021825101221369,0.9697744997818937,0.862191196393056,4.2212387386138,4.063312241964829,1.5112999646500307,1.5686278102419458,0.6619902821573977,1.818993642181824,1.3340424251908336,0.9793565624869728,0.9272559380844214
1049,1.4790123111292997,1.077606764640989,1.0567274243993188,0.9547838799037338,0.9297223574364051,0.7661847917417268,3.6261681621707624,3.7728375220291195,1.2897587110774045,1.3258168604566625,0.6447042257417027,1.475441350239942,1.0713407032661457,1.0395408122827565,0.9324055620052856
1050,1.7898388121915305,1.4314994957840166,1.4276710833005377,0.8587700795157722,0.8263398309411224,0.8348244646808597,4.406488199547405,4.708459741242882,1.6767351828606374,1.696439195268113,0.585052858160615,1.7885645783315358,1.4256001390287683,1.4191763455944835,0.9222195542124725
1051,1.8384372494130894,1.4100505813782493,1.0374619847210127,0.8557857940661743,0.830209108299294,0.8158512769000547,4.727982714591174,3.71437517114812,1.613003656991349,1.5565703945188092,0.6547956803312163,1.8377336021380055,1.398231866828933,1.009977477406276,0.9383922193706673
1052,2.011400288249184,1.7618622675520803,0.7707111699796689,1.098590642735483,1.0731632662108623,0.8264811191928882,4.5226162544174064,4.599955287064234,2.005909444914452,2.267782886702787,0.6097226960127671,2.008506853037027,1.739415141710693,1.509040186118403,0.8968537101390842
