,acc+eda_XAp0,acc+eda_XAp1,acc+eda_XAp2,acc+eda_XCond1,acc+eda_XCond2,acc+eda_XDist,acc+eda_XFuzz1,acc+eda_XFuzz2,acc+eda_XK2_1,acc+eda_XK2_2,acc+eda_XPermEn,acc+eda_XSamp0,acc+eda_XSamp1,acc+eda_XSamp2,acc+eda_XSpec
170,5.703782474656203,-0.38025216497708014,0.0,1.4392199834788817,1.4443944810741147,0.6250916261797469,0.0592453113175019,0.051302813316432855,,,0.6068309995095971,8.411832675758411,inf,,0.4161028963932308
171,5.703782474656201,-0.03802521649770801,0.0,1.691501840033238,1.6720179142650653,0.3287906637089546,0.06187440232508156,0.03663818186327472,,,0.6008849035917525,10.714417768752456,inf,,0.35947432956686015
172,5.703782474656199,-1.463970835161758,0.0,1.7160098129507646,1.7042709353892742,0.1596689622764687,0.04271651902012204,0.026336163682344475,,,0.6309483474627791,7.063759527458719,inf,,0.38211543436904316
173,,0.0,0.0,1.4229565040831862,1.4188629496994243,0.6086069857806848,0.014648242227612086,0.011270320761120518,,,0.6284777104787076,inf,,,0.32347888154521065
174,,0.0,0.0,1.743262158305193,1.740961878680936,0.755266995442354,0.01645167769080821,0.010543826298175536,,,0.6380535849069913,inf,,,0.3500933000945931
175,,0.0,0.0,1.784018115116261,1.5790758271770295,0.7850826560817378,0.0016969612968910151,0.002381327430187844,,,0.6233814453054027,inf,,,0.17630012797808328
176,,0.0,0.0,1.7650639833183814,1.555556505944385,0.8872014041175332,0.0006893449034428436,0.0009421728389399195,,,0.6153451465759925,inf,,,0.1739572834537012
177,5.479842616321449,-1.1872992335363137,0.0,1.5277456041645552,1.5173731655916078,0.717330475786118,0.06737660857041919,0.08732628541254724,,,0.648888643467878,6.9532176530588945,inf,,0.46185084297869394
178,4.897525792710695,-1.3347714051960595,-1.1629667490863949,1.4064298579170054,1.386475751380895,0.665684878336934,0.13770324482308766,0.09137220409951011,1.9613939183271365,,0.6233814453054027,5.50766759572991,1.78902348940918,inf,0.31808828005016676
179,4.994111829837756,-2.0309388108006874,0.0,1.752957111776601,1.6915304699275426,0.308514559274086,0.09012063666291656,0.026128470436150658,,,0.6333676938231112,5.824068640530703,inf,,0.35852462980198013
