,hreda_correlation
132,-0.14089552368229816
133,0.0459968898406727
134,0.12380228436171481
135,0.18114391963578777
136,-0.15519236743812015
137,0.07551701663089869
138,-0.018303399249492754
139,0.3087648898821474
140,0.09192809406067445
141,-0.4156816731939747
142,0.17011761381232982
143,-0.1344574791017067
144,-0.36423227256970536
145,0.9299930990192186
146,0.6794606774634144
147,-0.24127945424457034
148,0.12528589591296088
149,-0.3210391984206661
150,-0.0046495918226210865
151,-0.14426058810916195
152,-0.6978846852529657
153,0.3307051818129199
154,0.46530349497279594
155,0.46666363917694964
156,0.21141417179343855
157,0.38852915012219874
158,0.6400841687921591
159,-0.4577167077462713
160,0.22552106193390709
161,-0.3133036858315631
162,-0.2400187766515516
163,-0.1329183727119705
164,0.049297299445908806
165,0.17340131957337454
166,-0.2811928581955984
167,0.3412062669035828
168,0.019157708255195326
169,0.4493001018826838
170,0.29143660223323453
171,-0.1400568317939423
172,0.31028761937915517
173,-0.04946792493879274
174,-0.10851303242089182
175,0.1401555199889877
176,-0.4284130556078488
177,0.2627896016539876
178,0.8969816609700388
179,0.09209497111704891
180,0.3645602761976308
181,-0.13508144764190488
182,-0.5475998424845511
183,-0.2388015353384606
184,0.6674002977106769
185,-0.24718556321355395
186,-0.05871292395857944
187,-0.02975736456527375
188,-0.17067736184430643
189,0.07212310259004605
190,0.010162470139703117
191,-0.03378751336839701
192,0.1424755732547047
193,0.051661204893360645
194,0.06625240762416768
195,-0.1715169828662931
196,-0.2761862952113736
197,0.5410851052638128
198,0.05102023722805565
199,-0.03372067947810224
200,-0.51774694234395
201,0.7571960755489495
202,-0.5256798817041707
203,-0.06749914866486399
204,-0.41237199219155724
205,0.02789858198706304
206,0.0887679132287881
207,0.0889600728161487
208,0.17115686112063805
209,-0.5479988696651135
210,0.21519601685290662
211,0.3062060139941623
212,-0.1528421998933963
213,0.5486325870004682
214,0.2989499230295641
215,-0.32903196147475106
216,0.18691675360732543
217,0.44526906978416225
218,0.24543098991834475
219,-0.5783750977340878
220,0.19198890719428177
221,0.3590112839019873
222,0.21080684802118413
223,-0.009608523083741658
224,0.1903703398927018
225,0.28502142496912647
226,-0.39703376424716363
227,-0.7021233364659356
228,0.6576229399757607
229,0.6737725696893974
230,0.34388973761578456
231,0.25953553772050975
232,0.12569066324230233
233,-0.07529686481414599
234,0.3692465695723683
235,0.03472328792048395
236,-0.02773659745566335
237,-0.04789631221333918
238,0.4677969158467311
239,0.38574821696455314
240,0.29439879769129634
241,0.14559938543558404
242,0.35246187280015445
243,-0.24509950400992878
244,-0.26868825974498767
245,-0.23154500234752326
246,-0.16597049496204236
247,-0.17748353509838558
248,-0.24324679959095716
249,0.362648851507513
250,0.06750315665866084
251,0.5314464009371482
252,-0.20598512936880506
253,0.01319283970398364
254,-0.10402764298304186
255,0.4005929517695894
256,0.24030606152926248
257,0.20849536564159044
258,-0.6695766116068579
259,-0.02682787137136017
260,-0.4578291935385287
261,0.12806369178566146
262,-0.03361546362933893
263,0.3496981702140051
264,0.10336501411594357
265,-0.49511934529041646
266,-0.14449676164744454
267,0.297613574735816
268,0.5515742854887103
269,-0.16834625891510036
270,-0.5460118249926619
271,-0.39187655099259694
272,0.13367420441099376
273,0.3776191487531819
274,-0.08984494239346168
275,0.05328369758837953
276,0.11400076531335472
277,0.6994472718629702
278,-0.6429614307490613
279,0.552715091591557
280,-0.18252860837794316
281,0.04291207934675774
282,-0.34656429040169157
283,0.43827222044874453
284,-0.11706290484702014
285,0.43692260364495583
286,-0.24635188250010182
287,0.3742110180315835
288,0.3218682230398542
289,0.28993519547688096
290,0.36241466570529557
291,0.46191968568423286
292,-0.11861678108286275
293,-0.13222636811161675
294,0.2105529893368028
295,-0.37862120391212184
296,-0.5315060957650888
297,-0.24310121838145143
298,0.1084022208320265
299,0.13779182885613642
300,-0.26124951487803827
301,0.5925540558490493
302,-0.23813251760690593
303,0.189007879849304
304,-0.15841864294785105
305,0.05259344152575447
306,-0.3533941008654679
307,0.6441877944665304
308,0.1252077638069406
309,0.03153535044099421
